time,gFx,gFy,gFz
2026-07-15 17:1:50.3550,0.01,-0.989,0.12,0.996
2026-07-15 17:1:50.3650,0.006,-1.001,0.128,1.009
2026-07-15 17:1:50.4030,-0.07,-1.006,0.137,1.018
2026-07-15 17:1:50.4040,-0.07,-1.006,0.137,1.018
2026-07-15 17:1:50.4040,-0.07,-1.006,0.137,1.018
2026-07-15 17:1:50.4050,-0.098,-0.996,0.134,1.01
2026-07-15 17:1:50.4180,-0.124,-0.986,0.129,1.002
2026-07-15 17:1:50.4250,-0.148,-0.977,0.116,0.995
2026-07-15 17:1:50.4350,-0.167,-0.972,0.098,0.991
2026-07-15 17:1:50.4470,-0.18,-0.97,0.077,0.99
2026-07-15 17:1:50.4550,-0.185,-0.967,0.055,0.986
2026-07-15 17:1:50.4660,-0.181,-0.966,0.033,0.983
2026-07-15 17:1:50.5040,-0.151,-0.971,-0.003,0.983
2026-07-15 17:1:50.5040,-0.151,-0.971,-0.003,0.983
2026-07-15 17:1:50.5050,-0.151,-0.971,-0.003,0.983
2026-07-15 17:1:50.5050,-0.144,-0.972,-0.0,0.983
2026-07-15 17:1:50.5170,-0.137,-0.973,0.009,0.983
2026-07-15 17:1:50.5250,-0.129,-0.971,0.025,0.98
2026-07-15 17:1:50.5350,-0.126,-0.97,0.041,0.979
2026-07-15 17:1:50.5460,-0.125,-0.972,0.053,0.981
2026-07-15 17:1:50.5560,-0.122,-0.977,0.06,0.986
2026-07-15 17:1:50.5660,-0.114,-0.976,0.062,0.985
2026-07-15 17:1:50.5820,-0.105,-0.975,0.06,0.982
2026-07-15 17:1:50.6040,-0.092,-0.966,0.051,0.972
2026-07-15 17:1:50.6040,-0.092,-0.966,0.051,0.972
2026-07-15 17:1:50.6060,-0.09,-0.963,0.044,0.968
2026-07-15 17:1:50.6180,-0.095,-0.964,0.043,0.97
2026-07-15 17:1:50.6250,-0.107,-0.968,0.044,0.975
2026-07-15 17:1:50.6360,-0.123,-0.971,0.046,0.98
2026-07-15 17:1:50.6460,-0.144,-0.978,0.052,0.99
2026-07-15 17:1:50.6560,-0.167,-0.992,0.061,1.008
2026-07-15 17:1:50.6670,-0.187,-1.003,0.076,1.023
2026-07-15 17:1:50.7010,-0.212,-1.006,0.105,1.033
2026-07-15 17:1:50.7020,-0.212,-1.006,0.105,1.033
2026-07-15 17:1:50.7020,-0.212,-1.006,0.105,1.033
2026-07-15 17:1:50.7050,-0.204,-0.994,0.106,1.02
2026-07-15 17:1:50.7180,-0.189,-0.979,0.095,1.002
2026-07-15 17:1:50.7260,-0.17,-0.961,0.078,0.979
2026-07-15 17:1:50.7360,-0.151,-0.949,0.06,0.963
2026-07-15 17:1:50.7470,-0.127,-0.942,0.043,0.951
2026-07-15 17:1:50.7560,-0.11,-0.945,0.027,0.952
2026-07-15 17:1:50.7660,-0.098,-0.949,0.016,0.954
2026-07-15 17:1:50.8020,-0.114,-0.993,0.014,1.0
2026-07-15 17:1:50.8020,-0.114,-0.993,0.014,1.0
2026-07-15 17:1:50.8020,-0.114,-0.993,0.014,1.0
2026-07-15 17:1:50.8060,-0.112,-1.01,0.02,1.016
2026-07-15 17:1:50.8180,-0.108,-1.02,0.029,1.026
2026-07-15 17:1:50.8260,-0.102,-1.031,0.038,1.037
2026-07-15 17:1:50.8360,-0.101,-1.034,0.05,1.04
2026-07-15 17:1:50.8470,-0.108,-1.031,0.06,1.038
2026-07-15 17:1:50.8560,-0.124,-1.021,0.069,1.031
2026-07-15 17:1:50.8670,-0.145,-1.003,0.076,1.016
2026-07-15 17:1:50.9030,-0.19,-0.932,0.093,0.956
2026-07-15 17:1:50.9030,-0.19,-0.932,0.093,0.956
2026-07-15 17:1:50.9030,-0.19,-0.932,0.093,0.956
2026-07-15 17:1:50.9060,-0.195,-0.924,0.096,0.949
2026-07-15 17:1:50.9180,-0.192,-0.919,0.102,0.944
2026-07-15 17:1:50.9260,-0.182,-0.915,0.107,0.939
2026-07-15 17:1:50.9360,-0.168,-0.913,0.116,0.936
2026-07-15 17:1:50.9470,-0.15,-0.91,0.122,0.93
2026-07-15 17:1:50.9560,-0.129,-0.908,0.124,0.925
2026-07-15 17:1:50.9670,-0.11,-0.908,0.121,0.923
2026-07-15 17:1:51.0030,-0.075,-0.934,0.1,0.942
2026-07-15 17:1:51.0040,-0.075,-0.934,0.1,0.942
2026-07-15 17:1:51.0040,-0.075,-0.934,0.1,0.942
2026-07-15 17:1:51.0060,-0.069,-0.944,0.088,0.951
2026-07-15 17:1:51.0180,-0.061,-0.951,0.077,0.956
2026-07-15 17:1:51.0260,-0.053,-0.953,0.068,0.957
2026-07-15 17:1:51.0360,-0.05,-0.952,0.061,0.955
2026-07-15 17:1:51.0470,-0.051,-0.949,0.054,0.952
2026-07-15 17:1:51.0560,-0.059,-0.943,0.052,0.946
2026-07-15 17:1:51.0670,-0.077,-0.941,0.06,0.946
2026-07-15 17:1:51.1010,-0.139,-0.956,0.107,0.972
2026-07-15 17:1:51.1010,-0.139,-0.956,0.107,0.972
2026-07-15 17:1:51.1010,-0.139,-0.956,0.107,0.972
2026-07-15 17:1:51.1060,-0.149,-0.958,0.125,0.978
2026-07-15 17:1:51.1180,-0.152,-0.956,0.146,0.979
2026-07-15 17:1:51.1260,-0.153,-0.955,0.166,0.981
2026-07-15 17:1:51.1360,-0.152,-0.958,0.187,0.988
2026-07-15 17:1:51.1470,-0.155,-0.969,0.202,1.002
